"call_number","unit_id","incident_number","call_type","call_date","watch_date","received_dttm","entry_dttm","dispatch_dttm","response_dttm","on_scene_dttm","transport_dttm","hospital_dttm","call_final_disposition","available_dttm","address","city","zipcode_of_incident","battalion","station_area","box","original_priority","priority","final_priority","als_unit","call_type_group","number_of_alarms","unit_type","unit_sequence_in_call_dispatch","fire_prevention_district","supervisor_district","neighborhoods_analysis_boundaries","rowid","case_location","data_as_of","data_loaded_at",":@computed_region_ajp5_b2md"
"142370613","E01","14082328","Other","2014-08-25T00:00:00.000","2014-08-24T00:00:00.000","2014-08-25T07:22:03.000","2014-08-25T07:24:59.000","2014-08-25T07:25:19.000","2014-08-25T07:28:06.000","2014-08-25T07:30:59.000",,,"Fire","2014-08-25T07:42:41.000","JONES ST/GOLDEN GATE AVE","San Francisco","94102","B03","01","1456","3","3","3","true","Alarm","1","ENGINE","1","2","6","Tenderloin","142370613-E01","POINT (-122.412224 37.782074)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142373706","T05","14082602","Alarms","2014-08-25T00:00:00.000","2014-08-25T00:00:00.000","2014-08-25T21:16:38.000","2014-08-25T21:17:53.000","2014-08-25T21:18:00.000","2014-08-25T21:19:47.000","2014-08-25T21:19:58.000",,,"Fire","2014-08-25T21:29:32.000","FILLMORE ST/TURK ST","San Francisco","94115","B05","05","3535","3","3","3","false","Alarm","1","TRUCK","1","5","5","Western Addition","142373706-T05","POINT (-122.432144 37.780495)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","39"
"142383160","T19","14082897","Alarms","2014-08-26T00:00:00.000","2014-08-26T00:00:00.000","2014-08-26T19:17:26.000","2014-08-26T19:19:09.000","2014-08-26T19:20:48.000","2014-08-26T19:22:11.000",,,,"Fire","2014-08-26T19:26:41.000","STARVIEW WAY/OLYMPIA WAY","San Francisco","94131","B08","20","5356","3","3","3","false","Alarm","1","TRUCK","3","8","7","Twin Peaks","142383160-T19","POINT (-122.45159 37.751244)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","38"
"142392344","E25","14083172","Alarms","2014-08-27T00:00:00.000","2014-08-27T00:00:00.000","2014-08-27T16:00:00.000","2014-08-27T16:01:14.000","2014-08-27T16:02:11.000","2014-08-27T16:03:51.000",,,,"Cancelled","2014-08-27T16:05:14.000","JERROLD AVE/PHELPS ST","San Francisco","94124","B10","25","6455","3","3","3","false","Alarm","1","ENGINE","3","10","10","Bayview Hunters Point","142392344-E25","POINT (-122.391266 37.739853)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","1"
"142412563","E11","14083943","Other","2014-08-29T00:00:00.000","2014-08-29T00:00:00.000","2014-08-29T17:09:57.000","2014-08-29T17:09:57.000","2014-08-29T17:16:40.000","2014-08-29T17:18:59.000","2014-08-29T17:23:31.000",,,"SFPD","2014-08-29T17:38:58.000","VALENCIA ST/MISSION ST","San Francisco","94110","B06","11","5624","3","3","3","true","Alarm","1","ENGINE","2","6","9","Bernal Heights","142412563-E11","POINT (-122.42002 37.745388)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","2"
"142422720","FB1","14084336","Outside Fire","2014-08-30T00:00:00.000","2014-08-30T00:00:00.000","2014-08-30T18:11:20.000","2014-08-30T18:11:20.000","2014-08-30T18:12:30.000",,,,,"Fire","2014-08-30T18:15:17.000","SPEAR ST/FOLSOM ST","San Francisco","94105","B03","35","2112","3","3","3","false","Alarm","1","SUPPORT","4","3","6","Financial District/South Beach","142422720-FB1","POINT (-122.39097 37.79007)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","8"
"142422791","E28","14084349","Outside Fire","2014-08-30T00:00:00.000","2014-08-30T00:00:00.000","2014-08-30T18:32:30.000","2014-08-30T18:32:41.000","2014-08-30T18:39:14.000","2014-08-30T18:40:11.000","2014-08-30T18:42:11.000",,,"Fire","2014-08-30T18:45:28.000","MASON ST/BEACH ST","San Francisco","94133","B01","28","1425","3","3","3","false","Fire","1","ENGINE","1","1","3","North Beach","142422791-E28","POINT (-122.41398 37.807484)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"142422817","E22","14084355","Water Rescue","2014-08-30T00:00:00.000","2014-08-30T00:00:00.000","2014-08-30T18:39:57.000","2014-08-30T18:40:48.000","2014-08-30T18:41:26.000",,,,,"Fire","2014-08-30T18:42:38.000","CALL BOX: 1000 POINT LOBOS AV,SF","San Francisco","94121","B07","34","7314","3","3","3","false","Fire","1","ENGINE","14","7","1","Outer Richmond","142422817-E22","POINT (-122.513477895 37.778151997)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","29"
"142430176","T19","14084478","Alarms","2014-08-31T00:00:00.000","2014-08-30T00:00:00.000","2014-08-31T01:05:39.000","2014-08-31T01:06:52.000","2014-08-31T01:10:00.000","2014-08-31T01:11:59.000","2014-08-31T01:15:02.000",,,"Fire","2014-08-31T01:26:04.000","TAPIA DR/SERRANO DR","San Francisco","94132","B08","19","8581","3","3","3","false","Alarm","1","TRUCK","1","8","7","Lakeshore","142430176-T19","POINT (-122.48142 37.719055)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","16"
"142430584","T07","14084519","Structure Fire / Smoke in Building","2014-08-31T00:00:00.000","2014-08-30T00:00:00.000","2014-08-31T04:43:03.000","2014-08-31T04:43:03.000","2014-08-31T04:43:08.000",,,,,"Fire","2014-08-31T04:45:10.000","18TH ST/MISSION ST","San Francisco","94110","B02","07","5423","3","3","3","false","Alarm","1","TRUCK","2","6","9","Mission","142430584-T07","POINT (-122.41936 37.761837)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"142432002","B01","14084677","Alarms","2014-08-31T00:00:00.000","2014-08-31T00:00:00.000","2014-08-31T15:03:57.000","2014-08-31T15:06:47.000","2014-08-31T15:07:01.000","2014-08-31T15:09:22.000","2014-08-31T15:09:22.000",,,"Fire","2014-08-31T15:10:54.000","ELLIS ST/LEAVENWORTH ST","San Francisco","94109","B04","03","1544","3","3","3","false","Alarm","1","CHIEF","1","2","6","Tenderloin","142432002-B01","POINT (-122.41443 37.784657)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142440296","E25","14084876","Outside Fire","2014-09-01T00:00:00.000","2014-08-31T00:00:00.000","2014-09-01T02:03:40.000","2014-09-01T02:05:50.000","2014-09-01T02:06:03.000","2014-09-01T02:08:16.000","2014-09-01T02:10:24.000",,,"Fire","2014-09-01T02:24:55.000","03RD ST/23RD ST","San Francisco","94107","B10","25","2611","3","3","3","false","Fire","1","ENGINE","1","10","10","Potrero Hill","142440296-E25","POINT (-122.388 37.75539)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","26"
"142450651","B04","14085263","Alarms","2014-09-02T00:00:00.000","2014-09-01T00:00:00.000","2014-09-02T07:24:59.000","2014-09-02T07:27:12.000","2014-09-02T07:27:34.000","2014-09-02T07:29:27.000",,,,"Fire","2014-09-02T07:31:16.000","LAGUNA ST/MCALLISTER ST","San Francisco","94102","B02","05","3316","3","3","3","false","Alarm","1","CHIEF","2","2","5","Western Addition","142450651-B04","POINT (-122.42683 37.77926)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","39"
"142450915","T05","14085281","Alarms","2014-09-02T00:00:00.000","2014-09-02T00:00:00.000","2014-09-02T08:54:20.000","2014-09-02T08:55:14.000","2014-09-02T08:56:04.000",,,,,"Fire","2014-09-02T08:58:03.000","LEAVENWORTH ST/TURK ST","San Francisco","94102","B03","01","1456","3","3","3","false","Alarm","1","TRUCK","4","2","6","Tenderloin","142450915-T05","POINT (-122.414055 37.782795)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142461398","T02","14085643","Alarms","2014-09-03T00:00:00.000","2014-09-03T00:00:00.000","2014-09-03T10:58:03.000","2014-09-03T10:59:17.000","2014-09-03T10:59:45.000","2014-09-03T11:02:04.000",,,,"Fire","2014-09-03T11:05:08.000","STOCKTON ST/COLUMBUS AVE/GREEN ST","San Francisco","94133","B01","28","1334","3","3","3","false","Alarm","1","TRUCK","3","1","3","Chinatown","142461398-T02","POINT (-122.40901 37.799488)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"142461513","B04","14085652","Alarms","2014-09-03T00:00:00.000","2014-09-03T00:00:00.000","2014-09-03T11:26:02.000","2014-09-03T11:27:42.000","2014-09-03T11:28:55.000",,,,,"Fire","2014-09-03T11:33:14.000","LARKIN ST/BUSH ST","San Francisco","94109","B04","03","1636","3","3","3","false","Alarm","1","CHIEF","3","4","3","Nob Hill","142461513-B04","POINT (-122.418655 37.78891)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"142462108","E34","14085704","Other","2014-09-03T00:00:00.000","2014-09-03T00:00:00.000","2014-09-03T14:03:29.000","2014-09-03T14:03:29.000","2014-09-03T14:04:14.000",,,,,"Fire","2014-09-03T14:05:39.000","31ST AVE/CLEMENT ST","San Francisco","94121","B07","14","7237","2","3","3","false","Alarm","1","ENGINE","2","7","1","Outer Richmond","142462108-E34","POINT (-122.4913 37.781727)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","29"
"142462194","E02","14085715","Outside Fire","2014-09-03T00:00:00.000","2014-09-03T00:00:00.000","2014-09-03T14:22:53.000","2014-09-03T14:23:57.000","2014-09-03T14:24:42.000","2014-09-03T14:25:52.000","2014-09-03T14:28:48.000",,,"Fire","2014-09-03T14:32:27.000","MASON ST/DERBY ST","San Francisco","94102","B01","03","1411","3","3","3","true","Fire","1","ENGINE","1","1","3","Tenderloin","142462194-E02","POINT (-122.40993 37.78743)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142463078","78","14085790","Medical Incident","2014-09-03T00:00:00.000","2014-09-03T00:00:00.000","2014-09-03T18:18:09.000","2014-09-03T18:19:46.000","2014-09-03T18:21:05.000","2014-09-03T18:30:09.000","2014-09-03T18:30:09.000",,,"Fire","2014-09-03T18:30:16.000","POLK ST/EDDY ST","San Francisco","94102","B02","03","3163","2","2","2","true","Non Life-threatening","1","MEDIC","2","2","6","Tenderloin","142463078-78","POINT (-122.41918 37.7831)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142470288","E03","14085915","Alarms","2014-09-04T00:00:00.000","2014-09-03T00:00:00.000","2014-09-04T02:27:09.000","2014-09-04T02:29:33.000","2014-09-04T02:29:42.000","2014-09-04T02:30:44.000",,,,"Fire","2014-09-04T02:38:37.000","GEARY ST/JONES ST","San Francisco","94102","B01","03","1462","3","3","3","true","Alarm","1","ENGINE","2","1","6","Tenderloin","142470288-E03","POINT (-122.41316 37.786728)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142483261","B01","14086567","Alarms","2014-09-05T00:00:00.000","2014-09-05T00:00:00.000","2014-09-05T19:59:24.000","2014-09-05T20:01:19.000","2014-09-05T20:01:44.000","2014-09-05T20:03:09.000","2014-09-05T20:11:01.000",,,"Fire","2014-09-05T20:17:02.000","MONTGOMERY ST/CHESTNUT ST","San Francisco","94111","B01","28","1223","3","3","3","false","Alarm","1","CHIEF","3","1","3","North Beach","142483261-B01","POINT (-122.405174 37.804764)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"142483627","B04","14086610","Alarms","2014-09-05T00:00:00.000","2014-09-05T00:00:00.000","2014-09-05T21:55:08.000","2014-09-05T21:57:48.000","2014-09-05T21:57:56.000","2014-09-05T21:58:29.000","2014-09-05T22:05:06.000",,,"Fire","2014-09-05T22:13:33.000","LIGGETT AVE/MORTON ST","Presidio","94129","B99","51","4624","3","3","3","false","Alarm","1","CHIEF","3","7","2","Presidio","142483627-B04","POINT (-122.451965 37.79508)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","27"
"142492893","T01","14086906","Alarms","2014-09-06T00:00:00.000","2014-09-06T00:00:00.000","2014-09-06T18:41:47.000","2014-09-06T18:43:15.000","2014-09-06T18:43:19.000","2014-09-06T18:45:03.000","2014-09-06T18:47:38.000",,,"Fire","2014-09-06T19:11:12.000","TURK ST/TAYLOR ST","San Francisco","94102","B03","01","1365","3","3","3","false","Alarm","1","TRUCK","2","3","6","Tenderloin","142492893-T01","POINT (-122.41077 37.783215)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142503448","E06","14087351","Outside Fire","2014-09-07T00:00:00.000","2014-09-07T00:00:00.000","2014-09-07T21:30:40.000","2014-09-07T21:31:40.000","2014-09-07T21:32:47.000","2014-09-07T21:33:39.000","2014-09-07T21:36:19.000",,,"Fire","2014-09-07T21:39:08.000","CHURCH ST/HANCOCK ST","San Francisco","94114","B06","07","5435","3","3","3","false","Fire","1","ENGINE","1","6","8","Castro/Upper Market","142503448-E06","POINT (-122.428276 37.76049)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","5"
"142513063","B02","14087673","Alarms","2014-09-08T00:00:00.000","2014-09-08T00:00:00.000","2014-09-08T19:45:10.000","2014-09-08T19:46:45.000","2014-09-08T19:47:00.000","2014-09-08T19:50:10.000","2014-09-08T19:50:10.000",,,"Fire","2014-09-08T20:00:02.000","TURK ST/JONES ST","San Francisco","94102","B03","01","1456","3","3","3","false","Alarm","1","CHIEF","1","2","6","Tenderloin","142513063-B02","POINT (-122.412415 37.783005)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142543529","E51","14088829","Alarms","2014-09-11T00:00:00.000","2014-09-11T00:00:00.000","2014-09-11T21:42:40.000","2014-09-11T21:44:10.000","2014-09-11T21:44:57.000","2014-09-11T21:44:57.000","2014-09-11T21:44:57.000",,,"Fire","2014-09-11T21:52:49.000","ANZA AVE/LINCOLN BLVD","Presidio","94129","B99","51","4612","3","3","3","true","Alarm","1","ENGINE","1","7","2","Presidio","142543529-E51","POINT (-122.45661 37.801716)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","27"
"142572997","T01","14089911","Other","2014-09-14T00:00:00.000","2014-09-14T00:00:00.000","2014-09-14T21:07:13.000","2014-09-14T21:11:19.000","2014-09-14T21:11:26.000","2014-09-14T21:14:00.000",,,,"Fire","2014-09-14T21:22:48.000","MARY ST/HOWARD ST","San Francisco","94103","B03","08","2243","3","3","3","false","Alarm","1","TRUCK","1","3","6","South of Market","142572997-T01","POINT (-122.405716 37.78088)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"142602131","T10","14090887","Alarms","2014-09-17T00:00:00.000","2014-09-17T00:00:00.000","2014-09-17T14:50:31.000","2014-09-17T14:53:41.000","2014-09-17T14:55:33.000","2014-09-17T14:57:17.000","2014-09-17T15:01:10.000",,,"Fire","2014-09-17T15:03:25.000","CHESTNUT ST/DIVISADERO ST","San Francisco","94123","B04","16","4211","3","3","3","false","Alarm","1","TRUCK","2","4","2","Marina","142602131-T10","POINT (-122.44285 37.799976)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"142602336","T11","14090905","Alarms","2014-09-17T00:00:00.000","2014-09-17T00:00:00.000","2014-09-17T15:46:49.000","2014-09-17T15:46:49.000","2014-09-17T15:49:41.000","2014-09-17T15:51:11.000",,,,"Fire","2014-09-17T15:52:06.000","HOLLY PARK CIR/PARK ST","San Francisco","94110","B06","32","0564","3","3","3","false","Alarm","1","TRUCK","3","6","9","Bernal Heights","142602336-T11","POINT (-122.42099 37.736534)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","2"
"142631598","E11","14091993","Electrical Hazard","2014-09-20T00:00:00.000","2014-09-20T00:00:00.000","2014-09-20T12:08:49.000","2014-09-20T12:12:17.000","2014-09-20T12:12:35.000","2014-09-20T12:13:33.000","2014-09-20T12:15:20.000",,,"Fire","2014-09-20T12:18:50.000","26TH ST/DIAMOND ST","San Francisco","94131","B06","11","5545","3","3","3","true","Alarm","1","ENGINE","1","6","8","Noe Valley","142631598-E11","POINT (-122.43599 37.747963)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","22"
"142640862","T07","14092282","Alarms","2014-09-21T00:00:00.000","2014-09-21T00:00:00.000","2014-09-21T08:03:11.000","2014-09-21T08:04:41.000","2014-09-21T08:05:16.000","2014-09-21T08:07:40.000","2014-09-21T08:10:01.000",,,"Fire","2014-09-21T08:14:02.000","23RD ST/MISSION ST","San Francisco","94110","B06","07","5472","3","3","3","false","Alarm","1","TRUCK","3","6","9","Mission","142640862-T07","POINT (-122.418594 37.753838)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"142662559","E16","14093174","Alarms","2014-09-23T00:00:00.000","2014-09-23T00:00:00.000","2014-09-23T16:26:45.000","2014-09-23T16:28:57.000","2014-09-23T16:29:04.000","2014-09-23T16:32:00.000","2014-09-23T16:33:50.000",,,"Fire","2014-09-23T16:42:13.000","FRANCISCO ST/POLK ST","San Francisco","94109","B04","16","3133","3","3","3","true","Alarm","1","ENGINE","3","1","2","Russian Hill","142662559-E16","POINT (-122.42327 37.803413)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","32"
"142663602","T08","14093270","Other","2014-09-23T00:00:00.000","2014-09-23T00:00:00.000","2014-09-23T21:25:39.000","2014-09-23T21:28:02.000","2014-09-23T21:30:15.000","2014-09-23T21:31:28.000",,,,"Fire","2014-09-23T21:45:52.000","BRYANT ST/DORE ST","San Francisco","94103","B02","29","2344","3","3","3","false","Alarm","1","TRUCK","3","2","6","South of Market","142663602-T08","POINT (-122.409134 37.77082)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"142670289","T05","14093346","Alarms","2014-09-24T00:00:00.000","2014-09-23T00:00:00.000","2014-09-24T02:42:42.000","2014-09-24T02:44:07.000","2014-09-24T02:45:11.000","2014-09-24T02:47:25.000","2014-09-24T02:49:48.000",,,"Fire","2014-09-24T03:26:30.000","FRANKLIN ST/LARCH ST","San Francisco","94102","B02","36","3216","3","3","3","false","Alarm","1","TRUCK","1","2","5","Western Addition","142670289-T05","POINT (-122.42237 37.78222)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","39"
"142670729","T03","14093399","Alarms","2014-09-24T00:00:00.000","2014-09-23T00:00:00.000","2014-09-24T07:41:19.000","2014-09-24T07:42:35.000","2014-09-24T07:42:45.000","2014-09-24T07:45:03.000","2014-09-24T07:47:22.000",,,"Fire","2014-09-24T07:50:04.000","VAN NESS AVE/REDWOOD ST","San Francisco","94102","B02","03","3113","3","3","3","false","Alarm","1","TRUCK","2","2","6","Tenderloin","142670729-T03","POINT (-122.42026 37.780575)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142672844","B03","14093599","Alarms","2014-09-24T00:00:00.000","2014-09-24T00:00:00.000","2014-09-24T17:16:46.000","2014-09-24T17:19:27.000","2014-09-24T17:19:32.000","2014-09-24T17:20:43.000",,,,"Fire","2014-09-24T17:25:13.000","16TH ST/BRYANT ST","San Francisco","94110","B02","29","5242","3","3","3","false","Alarm","1","CHIEF","2","2","10","Mission","142672844-B03","POINT (-122.410484 37.765606)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"142692609","E03","14094372","Alarms","2014-09-26T00:00:00.000","2014-09-26T00:00:00.000","2014-09-26T16:24:26.000","2014-09-26T16:25:43.000","2014-09-26T16:29:18.000","2014-09-26T16:31:08.000","2014-09-26T16:32:25.000",,,"Fire","2014-09-26T16:36:48.000","ELLIS ST/LARKIN ST","San Francisco","94109","B02","03","1555","3","3","3","true","Alarm","1","ENGINE","1","2","6","Tenderloin","142692609-E03","POINT (-122.41771 37.784237)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142700170","E01","14094528","Alarms","2014-09-27T00:00:00.000","2014-09-26T00:00:00.000","2014-09-27T00:44:52.000","2014-09-27T00:45:55.000","2014-09-27T00:47:53.000","2014-09-27T00:48:38.000","2014-09-27T00:51:24.000",,,"Fire","2014-09-27T00:58:53.000","JESSIE ST/06TH ST","San Francisco","94103","B03","01","2251","3","3","3","true","Alarm","1","ENGINE","1","3","6","South of Market","142700170-E01","POINT (-122.40925 37.7814)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"142723339","E15","14095519","Other","2014-09-29T00:00:00.000","2014-09-29T00:00:00.000","2014-09-29T21:45:18.000","2014-09-29T21:48:15.000","2014-09-29T21:48:42.000","2014-09-29T21:49:10.000","2014-09-29T21:50:44.000",,,"Fire","2014-09-29T22:01:41.000","OCEAN AVE/LEE AVE","San Francisco","94112","B09","15","8472","3","3","3","true","Alarm","1","ENGINE","1","9","7","West of Twin Peaks","142723339-E15","POINT (-122.45412 37.723457)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","24"
"142743110","E02","14096196","Alarms","2014-10-01T00:00:00.000","2014-10-01T00:00:00.000","2014-10-01T18:33:16.000","2014-10-01T18:35:13.000","2014-10-01T18:39:32.000","2014-10-01T18:40:59.000","2014-10-01T18:42:25.000",,,"Cancelled","2014-10-01T18:50:06.000","PELTON PL/PACIFIC AVE","San Francisco","94133","B01","02","1332","3","3","3","true","Alarm","1","ENGINE","1","1","3","Chinatown","142743110-E02","POINT (-122.40762 37.796803)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"142753009","E18","14096594","Alarms","2014-10-02T00:00:00.000","2014-10-02T00:00:00.000","2014-10-02T17:44:36.000","2014-10-02T17:46:12.000","2014-10-02T17:47:35.000","2014-10-02T17:48:50.000","2014-10-02T17:56:07.000",,,"Fire","2014-10-02T18:11:02.000",,"San Francisco","94132","B08","19","8716","3","3","3","true","Alarm","1","ENGINE","1","8","7","Lakeshore","142753009-E18","POINT (-122.501724059 37.728324364)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","16"
"142761072","B04","14096824","Alarms","2014-10-03T00:00:00.000","2014-10-03T00:00:00.000","2014-10-03T09:04:33.000","2014-10-03T09:06:00.000","2014-10-03T09:06:10.000","2014-10-03T09:06:51.000",,,,"Fire","2014-10-03T09:11:41.000","GEARY ST/POLK ST","San Francisco","94109","B04","03","3116","3","3","3","false","Alarm","1","CHIEF","3","4","6","Tenderloin","142761072-B04","POINT (-122.41974 37.785892)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142772760","78","14097479","Medical Incident","2014-10-04T00:00:00.000","2014-10-04T00:00:00.000","2014-10-04T16:43:40.000","2014-10-04T16:44:33.000","2014-10-04T16:45:24.000","2014-10-04T16:45:41.000",,,,"Fire","2014-10-04T16:54:13.000","SACRAMENTO ST/JONES ST","San Francisco","94108","B01","41","1465","2","2","2","true","Non Life-threatening","1","MEDIC","4","1","3","Nob Hill","142772760-78","POINT (-122.41429 37.792343)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"142773762","E26","14097571","Outside Fire","2014-10-04T00:00:00.000","2014-10-04T00:00:00.000","2014-10-04T20:45:23.000","2014-10-04T20:47:40.000","2014-10-04T20:47:55.000","2014-10-04T20:49:57.000","2014-10-04T20:54:17.000",,,"Fire","2014-10-04T20:59:40.000","ROUSSEAU ST/CAYUGA AVE","San Francisco","94112","B09","32","8136","3","3","3","true","Fire","1","ENGINE","1","9","8","Outer Mission","142773762-E26","POINT (-122.42976 37.73146)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","28"
"142780294","79","14097660","Medical Incident","2014-10-05T00:00:00.000","2014-10-04T00:00:00.000","2014-10-05T01:29:45.000","2014-10-05T01:30:21.000","2014-10-05T01:30:57.000",,,,,"Other","2014-10-05T01:31:37.000","EDDY ST/LEAVENWORTH ST","San Francisco","94102","B02","03","1545","3","3","3","true","Potentially Life-Threatening","1","MEDIC","2","2","6","Tenderloin","142780294-79","POINT (-122.41424 37.783722)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"142782239","E29","14097838","Outside Fire","2014-10-05T00:00:00.000","2014-10-05T00:00:00.000","2014-10-05T14:47:28.000","2014-10-05T14:49:15.000","2014-10-05T14:49:30.000","2014-10-05T14:51:05.000",,,,"Fire","2014-10-05T14:57:53.000","VALENCIA ST/20TH ST","San Francisco","94110","B06","07","5446","3","3","3","true","Fire","1","ENGINE","1","6","9","Mission","142782239-E29","POINT (-122.42127 37.7585)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"142803039","E10","14098603","Alarms","2014-10-07T00:00:00.000","2014-10-07T00:00:00.000","2014-10-07T19:35:34.000","2014-10-07T19:36:49.000","2014-10-07T19:38:20.000","2014-10-07T19:39:16.000","2014-10-07T19:41:30.000",,,"Fire","2014-10-07T19:49:11.000","POST ST/SCOTT ST","San Francisco","94115","B04","10","4131","3","3","3","true","Alarm","1","ENGINE","1","5","5","Japantown","142803039-E10","POINT (-122.43802 37.78453)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","15"
"142810427","E38","14098729","Alarms","2014-10-08T00:00:00.000","2014-10-07T00:00:00.000","2014-10-08T05:54:23.000","2014-10-08T05:55:59.000","2014-10-08T05:56:13.000","2014-10-08T05:58:12.000","2014-10-08T05:59:52.000",,,"Fire","2014-10-08T06:20:40.000","WEBSTER ST/BROADWAY","San Francisco","94115","B04","38","3464","3","3","3","false","Alarm","1","ENGINE","1","4","2","Pacific Heights","142810427-E38","POINT (-122.43327 37.794476)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","30"
"142811274","E07","14098819","Alarms","2014-10-08T00:00:00.000","2014-10-08T00:00:00.000","2014-10-08T11:09:10.000","2014-10-08T11:10:29.000","2014-10-08T11:10:50.000","2014-10-08T11:12:32.000",,,,"Fire","2014-10-08T11:14:42.000","SOUTH VAN NESS AVE/17TH ST","San Francisco","94110","B02","07","5246","3","3","3","true","Alarm","1","ENGINE","3","2","9","Mission","142811274-E07","POINT (-122.417336 37.763573)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"142853144","E29","14100564","Alarms","2014-10-12T00:00:00.000","2014-10-12T00:00:00.000","2014-10-12T18:49:54.000","2014-10-12T18:51:11.000","2014-10-12T18:51:22.000",,,,,"Fire","2014-10-12T18:52:40.000","17TH ST/MISSION ST","San Francisco","94110","B02","07","5236","3","3","3","true","Alarm","1","ENGINE","5","2","9","Mission","142853144-E29","POINT (-122.41951 37.763428)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"143132897","T06","14111021","Citizen Assist / Service Call","2014-11-09T00:00:00.000","2014-11-09T00:00:00.000","2014-11-09T19:32:53.000","2014-11-09T19:32:53.000","2014-11-09T19:32:53.000","2014-11-09T19:32:53.000","2014-11-09T19:32:53.000",,,"Fire","2014-11-09T19:44:33.000","14TH ST/NOE ST",,"94114","B05","06","5212","3","3","3","false","Alarm","1","TRUCK","1","5","8","Castro/Upper Market","143132897-T06","POINT (-122.43341 37.76746)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","5"
"143141707","E06","14111252","Vehicle Fire","2014-11-10T00:00:00.000","2014-11-10T00:00:00.000","2014-11-10T13:16:39.000","2014-11-10T13:18:24.000","2014-11-10T13:18:30.000","2014-11-10T13:19:35.000",,,,"Fire","2014-11-10T13:39:45.000","SCOTT ST/DUBOCE AVE","San Francisco","94117","B05","06","5133","3","3","3","true","Fire","1","ENGINE","1","5","8","Castro/Upper Market","143141707-E06","POINT (-122.43489 37.769115)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","3"
"143150223","T01","14111443","Alarms","2014-11-11T00:00:00.000","2014-11-10T00:00:00.000","2014-11-11T02:03:43.000","2014-11-11T02:05:15.000","2014-11-11T02:05:24.000","2014-11-11T02:07:47.000",,,,"Fire","2014-11-11T02:10:15.000","FOLSOM ST/07TH ST","San Francisco","94103","B03","01","2314","3","3","3","false","Alarm","1","TRUCK","3","2","6","South of Market","143150223-T01","POINT (-122.407845 37.776745)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
